Strategy_Index,Weight
14337,0.02857142857142857
8044,0.02857142857142857
23675,0.02857142857142857
15367,0.02857142857142857
1687,0.02857142857142857
16785,0.02857142857142857
18132,0.02857142857142857
1973,0.02857142857142857
25325,0.02857142857142857
13174,0.02857142857142857
22714,0.02857142857142857
24968,0.02857142857142857
25236,0.02857142857142857
18886,0.02857142857142857
6388,0.02857142857142857
16504,0.02857142857142857
14851,0.02857142857142857
2709,0.02857142857142857
18903,0.02857142857142857
16912,0.02857142857142857
111,0.02857142857142857
19057,0.02857142857142857
701,0.02857142857142857
13804,0.02857142857142857
15368,0.02857142857142857
4737,0.02857142857142857
21572,0.02857142857142857
9915,0.02857142857142857
24205,0.02857142857142857
25216,0.02857142857142857
3872,0.02857142857142857
20559,0.02857142857142857
17679,0.02857142857142857
13950,0.02857142857142857
24717,0.02857142857142857
